Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-217.5306	120.617645	-50.60414	-443.84042	92.34884	-0.15573484	0.024438081	0.0025105104	-0.2338768	4000	0.002077674	18388.393	0.0	-1075.5996	1.37861	5.960465e-11	2.953007936477661
1	-220.26506	115.98803	3.3737469	-428.45273	87.53333	-3.7162588	1.3846778	4.4410567	-5.220353	8000	0.027118726	17626.059	0.0	-1264.626	1.3442879	8.3446505e-10	5.892421007156372
2	-137.09618	75.1558	8.013834	-398.94794	89.204544	-9.0457735	0.25450525	-4.6045322	-9.165901	12000	0.015776852	6222.88	0.0	-307.9292	1.3546991	-4.4703484e-11	8.829502820968628
3	-129.66801	73.58468	-1.8797249	-332.34854	103.289474	-11.357709	0.1738499	-8.981199	-11.445928	16000	0.013677919	5326.616	0.0	-224.37158	1.3424363	3.2782554e-10	11.825381994247437
4	-131.57346	97.951965	-17.1545	-524.21814	105.86487	-13.360357	0.11930379	-11.502553	-13.427496	20000	0.0356229	6706.808	0.0	-248.60742	1.3199347	-8.940697e-11	14.879780054092407
5	-106.21791	57.36854	-13.478254	-254.03444	124.25	-15.499828	0.057379168	-13.45616	-15.5522995	24000	-0.026153648	2329.8826	0.0	-99.666504	1.2876425	1.8775463e-09	18.007493019104004
6	-108.39881	72.54141	-7.016288	-275.5362	147.96153	-16.9307	0.2068473	-13.455765	-16.99952	28000	-0.018940803	2114.284	0.0	-68.523926	1.1978906	-1.5348196e-09	21.291847705841064
7	-101.31094	68.60912	-14.888127	-278.94077	180.27272	-18.073542	0.29468966	-16.121267	-18.207293	32000	-0.00064132427	2177.9407	0.0	-55.21924	1.1546327	1.6987324e-09	24.82362198829651
8	-55.520824	59.234325	23.64566	-146.96109	331.41666	-19.053171	0.30307433	-17.6522	-19.28321	36000	0.01100673	1125.7406	0.0	-0.29138184	1.1116011	-7.748604e-10	30.58430576324463
9	-29.926273	45.60609	45.604683	-130.5588	234.07143	-19.034613	0.31930164	-17.756088	-19.301579	40000	-0.00446482	1437.3578	0.0	-5.279663	1.071956	7.4505807e-10	36.32136106491089
