Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-230.3877	139.60332	-2.7461777	-558.06976	84.434784	-0.08672965	0.030214299	0.093215525	-0.20614092	4000	0.016972534	21887.768	0.0	-1042.6416	1.3496566	-1.1026859e-09	0.9478929042816162
1	-256.3809	128.94302	-35.041473	-591.1947	90.454544	-4.2010164	0.43896306	1.5226666	-4.7275276	8000	0.01760099	23404.754	0.0	-1112.3271	1.3517151	-2.115965e-09	1.8928020000457764
2	-244.66197	143.63255	14.620399	-600.75464	90.25	-8.490734	0.07259414	-6.3732452	-8.5857115	12000	0.012984607	21799.137	0.0	-773.53125	1.3525593	1.1920928e-10	2.8267009258270264
3	-231.16464	137.85204	22.585333	-529.16754	89.068184	-11.612905	0.12649523	-5.57357	-11.668076	16000	0.016444514	18265.928	0.0	-579.791	1.3539472	-2.3841862e-10	3.7626118659973145
4	-209.60402	115.65471	-12.170736	-457.5636	91.23256	-14.283715	0.07105434	-12.550129	-14.322029	20000	0.012593637	13929.07	0.0	-464.18896	1.3554494	2.0861624e-10	4.738119840621948
5	-199.82605	118.705376	2.3081214	-463.3637	85.28261	-16.688435	0.04256964	-16.092913	-16.717665	24000	0.0149442665	13481.639	0.0	-437.00928	1.356935	3.8743014e-10	5.70688796043396
6	-262.08807	120.86257	-54.337887	-483.24823	91.72093	-18.809635	2.5006218	13.642684	-19.061892	28000	0.011063823	19651.754	0.0	-786.2715	1.3578643	1.4901161e-09	6.673913955688477
7	-205.1976	122.660835	-0.45357835	-461.3919	83.195656	-21.978065	0.0480999	-20.584236	-21.99224	32000	0.007681027	13203.877	0.0	-430.9126	1.3591067	8.9406954e-11	7.647390842437744
8	-179.08179	102.19547	-0.29911163	-485.52942	81.354164	-24.333424	0.07829492	-22.44329	-24.349371	36000	0.009984512	9369.563	0.0	-281.1919	1.3602471	8.940697e-10	8.594017028808594
9	-205.15263	128.31715	9.936041	-555.511	85.86957	-26.267616	0.02329818	-25.938702	-26.27679	40000	0.011343181	12370.508	0.0	-372.23193	1.3614666	1.4901162e-10	9.547056913375854
