Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-281.14822	139.24178	20.743395	-588.4377	88.954544	-0.08202856	0.033838715	0.062307805	-0.22861062	4000	0.017622843	27246.3	0.0	-1204.3369	1.349103	-2.9802327e-11	0.9398841857910156
1	-213.59511	109.02995	-62.670464	-468.44693	89.84091	-4.036274	0.5765553	1.451451	-4.699023	8000	0.012184855	16390.697	0.0	-842.7368	1.3616691	1.0430813e-09	1.8787119388580322
2	-210.8596	128.83502	25.708921	-485.07022	91.39535	-7.8917785	0.34166852	-2.9678044	-8.1089	12000	-0.0050439313	15514.83	0.0	-574.1084	1.3696383	-5.9604643e-10	2.815194845199585
3	-194.41675	108.84688	-48.460136	-649.15826	90.209305	-10.7200575	1.344122	8.512596	-10.904433	16000	-0.0006618025	13308.367	0.0	-548.3872	1.3711113	1.758337e-09	3.7593600749969482
4	-153.27866	86.73812	-9.205351	-359.48285	91.209305	-13.508918	0.064268604	-11.824343	-13.551078	20000	-0.0040869303	7550.2583	0.0	-271.60156	1.3717779	8.046628e-10	4.710786819458008
5	-135.76459	78.05741	35.462032	-327.87863	89.83721	-15.531568	0.15527323	-11.782749	-15.569912	24000	-0.006550285	5470.628	0.0	-200.42432	1.3708754	-1.2814999e-09	5.644437074661255
6	-167.67836	92.52005	-46.631565	-458.55905	88.36364	-17.317242	0.021912597	-16.614662	-17.340622	28000	-0.009966794	8059.1846	0.0	-336.50464	1.3676627	4.470348e-10	6.5763630867004395
7	-147.19272	73.49619	24.431396	-368.67276	93.414635	-19.613106	0.064308286	-18.338942	-19.637735	32000	-0.009045579	5456.239	0.0	-235.7273	1.3645948	-1.3113022e-09	7.5150439739227295
8	-146.36342	94.32378	19.43249	-372.3006	92.2619	-21.624008	0.032892972	-20.917109	-21.64035	36000	-0.010449793	5788.231	0.0	-213.18262	1.3608787	4.917383e-10	8.463783979415894
9	-148.45197	75.04636	-61.802685	-413.5215	95.70731	-23.543825	0.11694529	-21.524303	-23.56511	40000	-0.012254357	5130.2925	0.0	-226.92175	1.3570904	1.9073485e-09	9.406432151794434
10	-109.77556	59.04517	24.236565	-240.56516	95.625	-25.557743	0.014918995	-25.32355	-25.568798	44000	-0.001989392	2393.5688	0.0	-93.26843	1.354813	-4.917383e-10	10.359553098678589
