Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-227.28777	129.02962	11.005529	-544.5582	80.408165	-0.0914398	0.025104038	0.04993154	-0.20947969	4000	0.0072235744	41955.29	0.0	-1457.8164	1.3496091	-5.662441e-10	1.9409937858581543
1	-233.16101	125.715866	-71.14062	-537.2591	82.4375	-4.2770586	0.29672202	-2.032908	-4.696254	8000	0.015328992	40535.793	0.0	-1383.6641	1.3502809	1.2218953e-09	3.8732175827026367
2	-217.94676	118.26929	3.68633	-536.25287	89.90909	-8.376206	0.12705828	-5.8142824	-8.488755	12000	0.0065966095	36410.85	0.0	-974.0078	1.3516393	-8.940697e-11	5.807114839553833
3	-207.19885	123.491486	9.43607	-569.52057	92.023254	-11.43701	0.18346357	-6.0486965	-11.511535	16000	0.01635483	33681.715	0.0	-812.41016	1.35296	1.2814999e-09	7.816375732421875
4	-210.25972	106.81621	-62.294796	-474.792	82.854164	-14.203239	0.24166754	-0.9663285	-14.238086	20000	0.017077215	30769.725	0.0	-798.9785	1.3529088	-6.2584876e-10	9.882669687271118
5	-206.93904	135.32004	-0.1476319	-558.0678	88.666664	-16.908087	0.072974876	-13.46661	-16.932856	24000	0.017834611	32722.545	0.0	-724.4844	1.3542173	1.3709068e-09	11.986520767211914
6	-237.40602	132.74696	-12.617251	-499.64252	84.17021	-19.49351	0.026319357	-18.81691	-19.509542	28000	0.011757616	38582.89	0.0	-938.10156	1.3544065	-1.3411046e-09	14.080324649810791
7	-204.87006	118.4454	30.690947	-480.04395	88.53333	-22.38166	0.059820775	-19.680647	-22.398165	32000	0.0108433245	31086.54	0.0	-729.31836	1.3560739	-2.384186e-10	16.182196855545044
8	-199.27818	127.42328	23.159805	-539.511	91.39535	-24.963322	0.064107835	-22.840988	-24.977074	36000	0.014042705	25444.145	0.0	-550.4043	1.3569019	-2.0861626e-10	18.15877866744995
9	-212.82823	133.05017	-27.391832	-548.37756	89.90909	-27.226387	0.034340676	-25.567562	-27.237013	40000	0.013557765	29818.266	0.0	-652.0254	1.3584534	-6.854534e-10	20.146631717681885
10	-215.35086	107.90972	-58.25062	-478.7686	88.577774	-29.676165	0.02109645	-28.750237	-29.683334	44000	0.010896947	25721.867	0.0	-651.14844	1.3587106	3.2782554e-10	22.14016056060791
11	-202.75975	109.87154	5.275678	-483.08356	85.21739	-32.026455	2.4569905	25.222853	-32.153103	48000	0.008806267	23010.725	0.0	-580.33594	1.3598635	6.854534e-10	24.13675856590271
12	-200.35622	109.01192	14.221692	-452.14853	91.27907	-34.425114	0.017495519	-33.819126	-34.431225	52000	0.0042305924	21427.049	0.0	-507.25586	1.3603172	4.1723253e-10	26.078190803527832
13	-208.19014	115.811584	42.131443	-439.07095	86.847824	-36.64146	0.05895196	-35.196857	-36.649906	56000	0.014326775	26161.283	0.0	-626.5176	1.3615555	-3.2782554e-10	28.05921173095703
14	-185.3122	87.17126	-21.160566	-453.65112	83.145836	-39.108326	0.0052401633	-38.95486	-39.112335	60000	0.011248573	16060.825	0.0	-424.3672	1.3625076	-1.6391277e-09	30.09250259399414
15	-196.86	116.847496	35.428013	-459.67712	89.818184	-41.18937	0.013269591	-40.78436	-41.193886	64000	0.0037630345	21664.502	0.0	-471.26172	1.3632711	2.115965e-09	32.160958766937256
16	-179.7706	96.17422	-68.86393	-449.28958	87.64445	-43.369205	0.03619629	-41.839	-43.373863	68000	0.0026495697	16752.844	0.0	-404.7207	1.3632112	3.874302e-10	34.12064790725708
17	-202.67778	136.5049	34.317806	-496.5479	86.521736	-45.39258	0.46437967	-35.027176	-45.429985	72000	0.0044728317	24799.92	0.0	-470.03516	1.3646029	-2.682209e-10	36.21682262420654
18	-187.52132	118.39407	37.636852	-465.17786	88.155556	-47.62167	0.039202053	-46.740185	-47.627846	76000	0.0017887311	19442.88	0.0	-401.6328	1.3659501	-1.3113022e-09	38.25868082046509
19	-194.17766	133.26869	37.739807	-512.9076	116.97059	-49.70087	0.054415334	-48.828075	-49.714447	80000	0.004612648	18045.486	0.0	-269.23438	1.366729	-7.4505807e-10	41.642735719680786
20	-189.08322	94.40538	-10.506571	-419.5186	86.26087	-51.457092	0.0028912348	-51.356117	-51.458805	84000	0.00275417	15684.005	0.0	-399.1953	1.3661745	-9.834766e-10	43.77933168411255
21	-173.72299	90.07051	-39.175514	-386.34222	90.318184	-53.55543	0.018633343	-53.07052	-53.558342	88000	0.010709533	12793.335	0.0	-315.01855	1.3669201	2.9802322e-10	45.884177684783936
22	-190.95534	116.121376	6.447105	-443.0095	89.36364	-55.47189	0.081822805	-53.474976	-55.47867	92000	0.0014557156	17558.11	0.0	-372.28125	1.3674402	-4.768372e-10	47.97188663482666
23	-210.28003	120.34112	-6.318156	-437.5131	87.35555	-57.555855	0.013089514	-57.299423	-57.55858	96000	0.008731105	21737.178	0.0	-533.9258	1.3682797	6.854534e-10	50.16147184371948
24	-187.24384	97.69759	-31.294252	-459.92557	88.17778	-60.051033	0.0073150247	-59.81668	-60.052914	100000	0.007260863	13228.809	0.0	-324.45996	1.3693552	1.6689301e-09	52.31702399253845
25	-192.48395	106.75406	-59.18835	-503.44824	90.38636	-62.06071	0.008770621	-61.72983	-62.06238	104000	0.008573572	15328.659	0.0	-373.64355	1.3694079	-1.8179417e-09	54.3787407875061
26	-179.52841	99.3969	-6.8862953	-444.37433	88.35555	-64.18618	0.05638049	-62.92616	-64.19176	108000	5.1168918e-05	12687.622	0.0	-276.7256	1.3704153	-2.2053719e-09	56.44906687736511
27	-183.53285	95.92365	-39.039124	-481.26126	89.795456	-66.06706	0.0035359005	-65.94206	-66.068214	112000	0.0047910595	12781.062	0.0	-276.93555	1.3699051	-3.2782554e-10	58.502503871917725
28	-165.18619	98.79119	38.13043	-415.85242	89.13636	-67.94761	0.0056876675	-67.84392	-67.949066	116000	0.0003650552	10781.117	0.0	-206.24023	1.3714385	2.384186e-10	60.78607892990112
29	-168.63087	91.93444	-41.065094	-394.0795	88.0	-69.60678	0.021167913	-68.924576	-69.609024	120000	0.008846516	10465.851	0.0	-225.64453	1.3717852	-3.874302e-10	63.31628489494324
30	-177.48146	87.274216	-8.8766775	-438.81088	90.22727	-71.34491	0.002019802	-71.279594	-71.345795	124000	0.0018061931	8804.049	0.0	-207.45703	1.370968	1.9073487e-09	65.76093578338623
31	-185.08989	101.32579	17.77493	-478.13702	88.844444	-73.04169	0.0054866318	-72.959816	-73.04305	128000	-0.0033107963	10853.757	0.0	-247.34375	1.3722448	-8.046627e-10	67.97946286201477
32	-178.03358	105.45708	27.15828	-401.11154	88.755554	-74.9032	0.0016440534	-74.85869	-74.90399	132000	-1.5203357e-05	10569.367	0.0	-215.36035	1.3724561	-2.682209e-10	70.16615390777588
33	-155.6754	103.348236	38.239388	-485.17734	90.27273	-76.67353	0.031815737	-76.140495	-76.677086	136000	0.0045916038	9731.842	0.0	-127.14551	1.3725524	2.384186e-10	72.27737283706665
34	-183.6028	97.73064	-8.666174	-375.59665	86.58696	-78.07513	0.00612594	-77.845535	-78.07638	140000	0.00039602493	9012.019	0.0	-167.78223	1.37381	1.2218953e-09	74.39987468719482
35	-172.21234	86.54634	-47.85657	-495.48322	89.931816	-79.66567	0.003058494	-79.54169	-79.666595	144000	-0.0060363635	8435.072	0.0	-210.10156	1.3730108	-8.046627e-10	76.54416584968567
36	-167.3794	98.09927	-60.4393	-492.05933	93.45238	-81.4718	0.0007247582	-81.45138	-81.472496	148000	-0.0037902896	9007.851	0.0	-157.07422	1.3732954	7.1525574e-10	78.75793981552124
37	-186.40979	96.429344	-76.02476	-479.6241	86.755554	-83.07665	0.002405781	-83.01868	-83.07756	152000	-0.002066687	10992.182	0.0	-236.67285	1.3734428	-7.748604e-10	80.94603490829468
38	-152.16968	84.68923	15.025069	-336.9231	92.860466	-85.02549	0.08619825	-81.75919	-85.029274	156000	-0.0027810438	6249.794	0.0	-76.04346	1.374442	1.0728836e-09	83.18090677261353
39	-167.54613	93.6601	-9.952629	-415.69705	92.69768	-86.21386	0.0022020633	-86.15628	-86.214645	160000	-0.00230656	6716.172	0.0	-109.148926	1.3727516	-1.013279e-09	85.29891180992126
40	-153.41792	84.10577	-14.2223425	-416.9591	85.434784	-87.57872	0.0018325134	-87.54333	-87.57952	164000	-0.0021484592	5510.8296	0.0	-80.240234	1.3743501	2.682209e-10	87.38831162452698
41	-152.55524	100.03852	-3.7090573	-423.93018	88.68889	-88.79118	0.042525068	-87.72234	-88.7951	168000	0.00090775	8187.0024	0.0	-53.916992	1.3734858	-3.2782554e-10	89.4869236946106
