Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-207.43143	124.25748	0.35822457	-540.94025	87.22222	-0.086743355	0.029925687	0.027882814	-0.20843473	4000	7.390976e-08	36395.625	-0.012076609	-1325.4922	1.3505322	0.015066915	0.20825	57.0	4.28823709487915
1	-176.01057	117.10133	-32.32974	-558.5364	88.51111	-4.19857	0.26387072	-0.37946343	-4.660598	8000	1.3232231e-08	26290.006	-0.010673622	-1000.9922	1.3706558	0.008642168	0.09525	79.0	9.524503231048584
2	-146.42587	64.00043	-14.594476	-310.64423	91.5814	-8.089261	0.3109888	2.3944485	-8.211421	12000	7.867813e-09	14204.73	-0.010363848	-557.416	1.3509663	0.008936333	0.09775	79.0	14.846619129180908
3	-125.705734	80.78171	-16.270212	-410.49326	90.0	-10.725115	0.79222363	2.5802965	-10.876746	16000	-5.796552e-08	12993.798	-0.009663762	-451.95508	1.3410376	0.0117269745	0.076	79.0	20.332923889160156
4	-132.427	80.24598	-29.686169	-376.70178	95.02439	-13.17773	0.19084713	-8.29894	-13.235536	20000	9.149313e-09	14091.286	-0.009543716	-480.2998	1.3396943	0.014202006	0.115	79.0	25.850013971328735
5	-114.39542	71.51003	34.96579	-274.3565	96.902435	-15.680366	0.195224	-12.652271	-15.737862	24000	-6.473064e-08	10868.356	-0.012295232	-364.13086	1.3132691	0.008349327	0.08625	79.0	31.593963146209717
6	-120.94175	80.529465	-2.5973277	-314.07806	105.45946	-17.928295	0.07073735	-17.02606	-17.96197	28000	-8.392334e-08	10986.892	-0.008409946	-369.9004	1.2978232	0.009883394	0.09175	79.0	37.86677813529968
7	-127.51153	119.79364	36.07507	-515.61194	119.15151	-20.170208	0.26916635	-16.69504	-20.227114	32000	4.529953e-09	17100.584	-0.0076724165	-428.1875	1.2759418	0.009024454	0.06025	79.0	43.66887712478638
8	-106.03487	61.909523	-10.633283	-262.86255	122.03125	-22.618006	0.14079373	-21.223969	-22.665152	36000	1.5377998e-08	9713.045	-0.011687158	-329.16602	1.2629404	0.010117323	0.10325	79.0	49.54779005050659
9	-84.59288	66.15659	6.7444096	-241.95389	123.78125	-24.829077	0.042808287	-23.799696	-24.842823	40000	2.384186e-10	6460.7524	-0.009004696	-178.24414	1.2533262	0.008845717	0.0585	79.0	55.59722709655762
