Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-204.91861	115.33374	61.415176	-498.2373	79.38	-0.0918095	0.028459141	0.023471057	-0.29102418	4000	-6.198883e-09	33278.96	-0.020992704	-1315.8965	1.3498076	0.025033256	0.23525	79.0	5.321171045303345
1	-177.81528	92.69435	-5.6883497	-402.08707	85.04256	-4.336778	0.16128321	-2.8903809	-4.597905	8000	9.638071e-08	24699.816	-0.020883054	-1024.416	1.3559121	0.019446822	0.31925	79.0	10.763062953948975
2	-137.24469	62.847588	37.699577	-281.15823	87.844444	-8.163492	0.14788608	-5.4724545	-8.295669	12000	-5.3882598e-08	14641.41	-0.0292517	-577.583	1.3403625	0.023036933	0.2845	79.0	16.33626914024353
3	-109.91553	55.916218	-48.695705	-370.22186	89.59091	-10.881888	0.059488297	-9.976406	-10.955626	16000	6.198883e-09	10106.276	-0.031205943	-379.6006	1.3333822	0.025857285	0.261	79.0	22.02377486228943
4	-83.2177	33.67901	4.7729106	-155.53574	97.4	-13.104858	0.06254257	-11.555247	-13.162599	20000	-1.513958e-08	4933.177	-0.03333158	-202.99414	1.306165	0.025886197	0.3085	79.0	27.885278940200806
5	-74.78973	36.485126	1.2590166	-164.18681	106.45946	-14.80347	0.057845715	-11.963122	-14.847115	24000	1.7404556e-08	4786.4253	-0.034561016	-198.97314	1.2801656	0.025216056	0.2515	79.0	33.69795298576355
6	-77.19841	73.46524	-11.407204	-359.0341	107.97298	-16.515863	0.02716064	-16.329592	-16.54928	28000	-4.1007997e-08	8834.84	-0.03627302	-232.1709	1.2409738	0.02804465	0.24975	79.0	39.51928400993347
7	-67.63953	36.67399	-21.466873	-207.92229	107.675674	-18.407215	0.021014558	-18.240364	-18.434925	32000	-3.0994416e-09	3868.4458	-0.037687972	-179.63672	1.2403535	0.03729488	0.30075	79.0	45.496809005737305
8	-67.04336	74.90428	5.757879	-383.5384	114.14286	-20.129465	0.04514404	-18.785652	-20.157042	36000	-2.3007393e-08	7766.024	-0.041648988	-213.93066	1.1749582	0.048822083	0.31375	79.0	51.61528301239014
9	-47.747513	23.98938	-3.1387808	-106.56914	128.29033	-22.029213	0.04025756	-20.66702	-22.053446	40000	-1.4305114e-08	2212.355	-0.039571047	-105.7876	1.1819358	0.035691377	0.26575	79.0	57.712270975112915
10	-56.019497	35.523693	8.91725	-159.68227	137.03572	-23.438152	0.022475544	-23.183113	-23.459929	44000	2.7179718e-08	3457.6	-0.044138905	-152.95874	1.1285791	0.042495772	0.37875	79.0	63.76847505569458
11	-37.22041	32.43812	26.82571	-119.98869	142.42857	-25.107336	0.04253492	-24.220795	-25.133423	48000	6.198883e-09	2268.4695	-0.04624234	-79.437744	1.0752834	0.038877476	0.27025	79.0	69.8040120601654
12	-78.35813	78.50336	-1.9760813	-276.57666	184.4762	-26.394321	0.017073521	-26.286861	-26.409086	52000	5.00679e-09	8421.847	-0.054649103	-270.20264	1.033867	0.07400105	0.35425	79.0	75.96204900741577
13	-33.444645	31.401577	33.395863	-98.3524	170.47826	-28.660887	0.078429155	-26.702446	-28.684498	56000	-4.4107438e-09	1718.558	-0.049847487	-61.32495	0.9650165	0.06381196	0.33625	79.0	82.16582298278809
14	-78.407974	131.45811	13.8147	-540.90607	175.31818	-29.875675	0.016485488	-29.73695	-29.889091	60000	1.5497207e-08	16096.784	-0.048456367	-295.88477	0.9394642	0.0715924	0.27925	79.0	88.32185387611389
15	-49.740894	27.159698	8.851995	-107.52266	206.73685	-32.31054	0.019374331	-31.990406	-32.324356	64000	-7.1525574e-10	2093.8525	-0.045514654	-105.74951	0.9162149	0.055785812	0.264	79.0	94.66757082939148
16	-53.30027	36.269047	-4.487154	-145.1207	163.34782	-33.89926	0.014021546	-33.694424	-33.909195	68000	6.3180923e-09	2587.0444	-0.049862437	-74.5459	0.86410236	0.07135831	0.316	79.0	100.87833404541016
17	-54.89145	32.25352	-0.74742377	-129.35901	194.95	-35.21206	0.020565255	-34.978634	-35.223434	72000	2.1636486e-08	2647.102	-0.052772608	-135.44849	0.812549	0.08174769	0.28	79.0	107.06676197052002
18	-73.921074	47.04057	-4.524098	-216.04092	186.7619	-36.97564	0.028140143	-35.27821	-36.984	76000	-7.7486035e-09	4271.8057	-0.051826213	-209.41821	0.8059246	0.11103962	0.34875	79.0	113.28962302207947
