Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-236.17738	103.15596	-41.5667	-493.87115	89.47727	-0.0850894	0.03143195	0.049998477	-0.18507403	4000	-1.13129616e-07	40226.28	-0.0101027945	-1500.0195	1.3498315	0.013907258	0.15125	79.0	5.150300025939941
1	-142.02307	90.783585	113.32493	-390.7879	106.89189	-3.8453915	0.67530656	-0.70973015	-4.6069465	8000	-2.0921231e-08	12827.246	-0.010849452	-489.39844	1.3593185	0.010963078	0.08925	79.0	10.733237028121948
2	-133.22302	74.952545	-6.3808713	-377.66318	94.7619	-7.1384487	0.14407383	-4.249978	-7.3022757	12000	-4.7683715e-09	13448.6	-0.015100413	-549.51953	1.3728181	0.010444191	0.22825	79.0	16.004942178726196
3	-104.09263	74.79075	44.59146	-455.71497	89.295456	-9.975897	0.54206437	1.5694145	-10.115494	16000	-9.298325e-09	9841.115	-0.009012406	-357.90723	1.3582538	0.006575857	0.08825	79.0	21.42893695831299
4	-135.12138	67.42152	-47.810276	-324.6977	99.825	-12.3676815	0.08566509	-10.942967	-12.434642	20000	-1.128912e-07	14180.911	-0.010800247	-595.0137	1.3444685	0.01080749	0.07	79.0	26.952460050582886
5	-121.78187	93.584305	16.650545	-406.8614	116.97059	-15.276614	0.42168087	-6.1076894	-15.376019	24000	3.8146974e-09	16615.125	-0.009532249	-535.43945	1.3423169	0.011654025	0.11325	79.0	32.66797113418579
6	-135.66681	79.207436	-6.299345	-338.0212	107.833336	-18.141619	0.029274749	-17.56425	-18.161465	28000	-3.4570693e-08	12887.89	-0.011437291	-483.6914	1.3233695	0.011310561	0.0675	79.0	38.37500214576721
7	-140.79744	98.81502	45.52318	-298.26044	159.64	-20.74489	0.20814097	-19.372885	-20.83331	32000	1.9073487e-09	12704.022	-0.012062922	-365.07422	1.3031026	0.014660286	0.10075	79.0	44.90539288520813
8	-120.44233	98.82447	7.2773595	-396.49973	111.685715	-23.137999	0.27059	-17.177952	-23.182583	36000	-4.0113925e-08	13589.997	-0.011593271	-409.3994	1.2863579	0.011962787	0.09	79.0	50.78770303726196
9	-100.84352	60.981335	-13.391404	-282.19803	123.21875	-25.6227	0.026157916	-25.007732	-25.634567	40000	-8.5830685e-09	5554.27	-0.009773643	-192.2793	1.2848225	0.0057393997	0.068	79.0	56.718636989593506
10	-84.887184	87.47523	14.977132	-317.54782	124.258064	-27.39271	0.04025039	-26.598978	-27.40929	44000	1.835823e-08	9509.56	-0.00960512	-189.18652	1.2587123	0.010339355	0.0695	79.0	62.71088695526123
11	-80.87644	107.64646	69.29283	-402.00546	193.5	-29.060661	0.23361903	-27.02625	-29.157682	48000	9.298325e-09	9021.986	-0.00836705	-126.09668	1.224312	0.0067666965	0.06325	79.0	69.70562195777893
12	-44.203278	37.70606	36.570335	-136.66289	133.75862	-30.62257	0.010215256	-30.537476	-30.63234	52000	-1.3351441e-08	1307.2584	-0.009608337	-15.507568	1.2112807	0.017031517	0.12925	14.0	72.60580396652222
13	-109.592125	79.765755	30.404892	-256.40652	221.38889	-31.10343	0.31138435	-27.634794	-31.216446	56000	3.8146972e-08	15194.373	-0.008776841	-546.6377	1.1761067	0.009766934	0.089	79.0	79.18179607391357
14	-72.022736	79.630714	22.900986	-267.88962	202.8	-34.102425	0.04193779	-33.84792	-34.12749	60000	-7.688999e-09	6508.7646	-0.007233246	-158.7539	1.1619854	0.008825374	0.053	79.0	86.15061092376709
15	-34.33115	63.377014	28.153046	-237.60306	165.39131	-35.907574	0.009185169	-35.79612	-35.911674	64000	6.556511e-09	3512.3455	-0.006209604	-14.526855	1.1630645	0.006617858	0.0475	79.0	92.36565923690796
16	-60.56079	71.19059	4.8625445	-219.6669	306.92307	-36.490753	0.027897296	-36.367893	-36.506207	68000	3.904104e-09	6876.7705	-0.0077104433	-109.78955	1.1794791	0.008565554	0.06975	79.0	99.87677383422852
17	-28.772846	85.85209	59.40341	-267.72998	244.46153	-37.914032	0.02516405	-37.774784	-37.928616	72000	-7.033348e-09	5280.086	-0.009805279	-66.976074	1.1517344	0.0068586795	0.1095	79.0	107.23207926750183
18	-42.02207	51.81481	18.68489	-204.41205	191.94737	-39.126915	0.0072327396	-39.056046	-39.12993	76000	8.225441e-09	3172.331	-0.011506831	-9.175537	1.1203582	0.013396511	0.08275	79.0	113.50852608680725
19	-49.8632	83.26746	86.068306	-156.41	604.6667	-39.60337	0.02587736	-39.49061	-39.621155	80000	5.543232e-09	5356.3994	-0.011934513	-46.995117	1.173293	0.010821407	0.107	79.0	122.1174430847168
