Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	22.180792	11.083712	65.0	9.0	22.180792	-0.07691597	0.05318327	0.42234308	-0.1999413	4000	1.3317913e-07	250.58261	-0.014386633	-14.799988	0.69100195	0.0069202236	0.08775	79.0	0.608130693435669
1	27.229166	16.265043	145.0	10.0	27.229166	0.5754659	0.30257702	2.6557028	0.2773434	8000	1.8626451e-08	398.919	-0.010744165	-35.589348	0.68449974	0.005063435	0.028749999	79.0	1.1330108642578125
2	31.472	16.869179	106.0	9.0	31.472	1.8524224	0.7723462	6.662058	1.125871	12000	1.8626451e-08	412.11465	-0.010587672	-58.652416	0.6725675	0.004271606	0.022	79.0	1.656728744506836
3	35.85321	16.627502	78.0	12.0	35.85321	3.9069867	1.216383	10.543525	2.5310144	16000	-5.7742e-08	388.953	-0.008491868	-76.7811	0.6622946	0.0029224586	0.019000001	79.0	2.1871349811553955
4	44.59302	24.544872	159.0	13.0	44.59302	6.9941907	1.7431402	18.199675	4.889334	20000	-4.749745e-08	550.5515	-0.011035492	-124.85477	0.644402	0.005450906	0.018	79.0	2.717747926712036
5	58.421875	33.31704	133.0	15.0	58.421875	10.844381	1.9285004	31.667767	6.908677	24000	8.940697e-08	813.3534	-0.011467408	-199.86014	0.64094514	0.00278191	0.02225	79.0	3.24118971824646
6	72.18519	41.432262	196.0	10.0	72.18519	17.709995	3.845388	43.01297	12.404959	28000	-7.450581e-09	730.86475	-0.011786103	-161.19595	0.63328207	0.0051583345	0.053000003	79.0	3.7786879539489746
7	82.95652	46.251186	200.0	13.0	82.95652	24.31736	5.629743	65.55179	14.717634	32000	1.7695129e-08	734.2767	-0.011219369	-137.86188	0.6231345	0.0050751953	0.026250001	79.0	4.315126895904541
8	93.871796	48.847843	200.0	19.0	93.871796	29.15901	4.397397	52.644	19.674835	36000	7.450581e-09	703.66614	-0.0075761154	-133.88745	0.6141854	0.0041177357	0.026	79.0	4.85886287689209
9	134.62962	46.960304	200.0	42.0	134.62962	33.67502	3.9708235	57.03029	24.00754	40000	3.7252903e-08	767.0011	-0.0084547065	-190.34494	0.6066663	0.0054498343	0.043	79.0	5.3909687995910645
