Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	23.593939	12.511278	70.0	9.0	23.593939	-0.14151847	0.15600841	0.25980926	-0.6047143	4000	-1.3783574e-07	297.83386	-0.0149982795	-25.098381	0.6911686	0.007662276	0.103	79.0	0.6814539432525635
1	27.57639	15.912774	87.0	10.0	27.57639	0.7790814	0.35862994	1.6715156	-0.5245728	8000	6.3329935e-08	378.53558	-0.015221134	-41.828564	0.68419605	0.0087556485	0.062250003	79.0	1.193091869354248
2	33.869564	17.335825	83.0	10.0	33.869564	2.1829057	0.24800849	2.805887	1.2757477	12000	-8.195639e-08	423.98566	-0.012378925	-65.77359	0.66987073	0.005403126	0.044749998	79.0	1.6977770328521729
3	43.211113	21.219748	95.0	10.0	43.211113	4.331563	0.09094811	4.516162	3.7978563	16000	2.6077032e-08	534.6669	-0.010129598	-97.44243	0.656196	0.003304739	0.0215	79.0	2.2092738151550293
4	43.077778	21.704187	100.0	12.0	43.077778	7.330789	0.48334378	9.086188	3.8346217	20000	5.8673322e-08	442.58698	-0.014405249	-83.85243	0.6415738	0.008396079	0.039	79.0	2.7059028148651123
5	68.58929	43.624115	200.0	15.0	68.58929	9.927478	1.519581	13.541001	2.7127876	24000	-4.8428774e-08	1014.91754	-0.011170571	-202.06346	0.63743776	0.0031157858	0.022750001	79.0	3.238913059234619
6	83.26667	37.420376	158.0	12.0	83.26667	14.679637	1.4393882	18.857342	4.8923097	28000	-6.146729e-08	877.0521	-0.009565674	-170.46597	0.6271548	0.0060894256	0.031000001	79.0	3.800055742263794
7	96.69231	50.037502	189.0	15.0	96.69231	19.0567	0.46297225	20.692791	16.715725	32000	-8.8475645e-08	995.12213	-0.009494234	-171.77072	0.6145342	0.005899042	0.03375	79.0	4.370875835418701
8	108.91428	55.386112	200.0	16.0	108.91428	23.046062	1.3901017	26.135332	16.325731	36000	2.9802322e-08	986.2094	-0.0066229496	-157.07356	0.6150774	0.0024899512	0.01675	79.0	4.942278861999512
9	135.2963	61.083923	200.0	23.0	135.2963	27.066305	0.71623755	28.667297	22.109413	40000	1.7695129e-08	1078.4064	-0.0042790966	-174.7964	0.6071937	0.0058357907	0.013	79.0	5.524433851242065
