Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	20.856382	11.099435	72.0	8.0	20.856382	-0.04561563	0.077610515	0.23648562	-0.24136709	4000	1.13621354e-07	240.37125	-0.028571498	-121.97606	0.6924684	0.015090499	0.225	75.0	0.8073110580444336
1	30.384615	15.613792	74.0	10.0	30.384615	7.652344	0.9731462	15.04126	6.2837343	8000	3.1664968e-08	232.665	-0.020986987	-111.974655	0.68645203	0.0058272984	0.0725	79.0	1.6785261631011963
2	37.33654	22.642118	124.0	9.0	37.33654	16.632917	1.5791463	18.156658	7.0268545	12000	0.0	240.07309	-0.022946522	-46.43809	0.66612864	0.010195765	0.085	79.0	2.4249210357666016
3	70.28846	48.04138	200.0	13.0	70.28846	21.99796	4.2212405	26.58161	-3.4255433	16000	-3.7252903e-09	704.6022	-0.020332765	-294.2307	0.64237833	0.008620894	0.1095	79.0	3.1676831245422363
4	100.27027	44.82015	188.0	15.0	100.27027	35.829304	9.808018	45.429874	-7.711358	20000	-7.450581e-09	348.54648	-0.014567662	-96.11	0.6214735	0.004155896	0.06075	79.0	3.9080281257629395
5	155.91667	40.9928	200.0	15.0	155.91667	39.96904	15.026621	56.8003	-16.643873	24000	-1.4901161e-08	350.6988	-0.010970825	-181.75574	0.59846497	0.0034913472	0.04525	79.0	4.6796839237213135
6	178.6	26.096745	200.0	126.0	178.6	50.201122	21.484283	71.628944	-19.308899	28000	3.7252903e-09	203.07831	-0.009502784	-60.73825	0.5891005	0.00596694	0.08775	79.0	5.420409917831421
7	181.33333	33.237003	200.0	58.0	181.33333	59.695736	14.46664	75.96808	-5.0004244	32000	-3.7252903e-09	320.53345	-0.0071497927	-57.022045	0.57696843	0.005461795	0.0435	79.0	6.150563955307007
8	188.65	21.457575	200.0	113.0	188.65	53.313335	21.75976	75.05511	-16.801233	36000	9.778887e-09	501.11462	-0.0081369	-133.57068	0.5567992	0.004809056	0.0515	79.0	6.883559942245483
9	198.4	6.9742384	200.0	168.0	198.4	59.052032	9.780234	70.80365	15.361281	40000	7.450581e-09	326.7735	-0.0056270775	-81.693954	0.54256177	0.004023641	0.03625	79.0	7.6320130825042725
