Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	20.649214	10.603145	85.0	9.0	20.649214	-0.25590354	0.06700962	-0.057129174	-0.44804168	4000	1.0151416e-07	237.51813	-0.014618875	-136.31549	0.6886131	0.0154679855	0.23875001	13.0	0.6293971538543701
1	25.738562	16.099678	125.0	9.0	25.738562	7.845825	0.16250299	8.084909	5.6560273	8000	2.2351742e-08	214.807	-0.017289825	-62.929802	0.68796825	0.008298197	0.06375	79.0	1.6481029987335205
2	32.99138	19.312536	111.0	10.0	32.99138	13.31445	1.2277986	14.076005	-2.1144311	12000	7.450581e-09	237.89554	-0.018421743	-44.69936	0.67622805	0.008642427	0.07225	79.0	2.621603012084961
3	51.17105	33.259106	169.0	10.0	51.17105	17.661762	2.7057943	18.745173	-11.374937	16000	1.8626451e-08	437.29092	-0.014241069	-95.96742	0.66045225	0.0046028327	0.065	79.0	3.5754339694976807
4	61.86885	33.900757	173.0	12.0	61.86885	24.643215	2.1077278	25.271778	-3.1663234	20000	-6.519258e-09	429.42188	-0.013877706	-51.330727	0.63778025	0.0070925965	0.05025	79.0	4.453006982803345
5	108.617645	53.30104	200.0	13.0	108.617645	29.21001	2.8182569	30.004936	-10.899636	24000	6.3329935e-08	750.11914	-0.0102256145	-226.01987	0.6279627	0.0035520596	0.036250003	79.0	5.231125116348267
6	151.66667	38.931206	200.0	50.0	151.66667	35.33842	5.837497	38.88568	1.922889	28000	2.7939677e-08	630.13464	-0.0034823748	-255.8294	0.61926085	0.0019025506	0.02925	79.0	6.013243913650513
7	144.65384	50.066063	200.0	17.0	144.65384	43.253384	8.604028	47.399662	6.972812	32000	-1.6763806e-08	452.8241	-0.0085527245	-103.45298	0.601596	0.015729753	0.2235	6.0	6.575928211212158
8	173.61905	34.31295	200.0	81.0	173.61905	49.946827	7.122242	52.380703	7.686058	36000	1.1175871e-08	494.3611	-0.0065393713	-128.10011	0.599326	0.002870481	0.020750001	79.0	7.394040822982788
9	184.05	39.59858	200.0	34.0	184.05	46.694588	13.168573	56.31772	0.29961824	40000	0.0	451.19272	-0.0029300088	-94.66504	0.5935064	0.002546619	0.011	79.0	8.194446086883545
