Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-231.41484	139.62535	3.7664926	-508.50635	87.62222	-0.08631441	0.033281825	0.05534096	-0.2831572	4000	-9.131431e-08	45696.48	-0.009591861	-1513.0703	1.3498855	0.0143136615	0.24575	79.0	5.372827053070068
1	-171.95114	99.04994	10.008023	-493.97775	85.91304	-4.2080703	0.33462435	-0.017078474	-4.6225233	8000	2.7418137e-08	22289.38	-0.011528371	-863.9258	1.3628607	0.012765438	0.1075	79.0	10.691307067871094
2	-163.16559	96.78046	26.308624	-452.04575	95.53658	-7.7367306	0.28599828	1.26193	-7.917707	12000	-5.811453e-08	20856.617	-0.006933209	-711.5156	1.3771061	0.009002357	0.07725	79.0	16.356497049331665
3	-172.29121	117.20835	46.962303	-492.92664	103.52631	-10.681504	0.4612257	-2.970704	-10.8007145	16000	-9.7453594e-08	27422.117	-0.009175846	-812.4219	1.3702	0.010781795	0.07975	79.0	22.228758811950684
4	-163.60454	96.99659	-33.76616	-406.36777	93.61905	-13.742508	0.26053047	-9.82592	-13.80913	20000	4.673004e-08	21622.16	-0.009571213	-671.31055	1.35867	0.01233735	0.1205	79.0	28.209892988204956
5	-140.16739	98.064575	12.256945	-432.4282	113.08572	-16.465176	0.27686003	-11.4537945	-16.544102	24000	-1.7642975e-08	17331.088	-0.00892882	-464.5332	1.3413372	0.008666984	0.07375	79.0	34.11229991912842
6	-106.07304	66.313065	13.499749	-297.47116	99.9	-18.820147	0.06930354	-17.34036	-18.844072	28000	3.1232833e-08	8297.949	-0.01203999	-227.5127	1.3324776	0.013546784	0.12575	79.0	39.97892785072327
7	-125.54079	93.38685	51.250046	-363.81375	108.138885	-20.507996	0.03687247	-19.70355	-20.529636	32000	-3.2663344e-08	14039.645	-0.009319639	-368.91992	1.3142104	0.011627639	0.13975	79.0	46.06887698173523
8	-107.42042	56.10796	-18.482822	-286.29483	113.74286	-22.606434	0.23208892	-19.094378	-22.648718	36000	7.033348e-09	7449.1836	-0.009846203	-249.47949	1.2897766	0.010839076	0.1545	79.0	52.129003047943115
9	-91.70563	52.858967	17.169426	-217.49829	115.67647	-24.442024	0.04735249	-23.607086	-24.45631	40000	-1.090765e-08	4548.802	-0.0077548637	-146.66113	1.2802166	0.015389233	0.12225	22.0	55.36703085899353
10	-119.80068	74.45067	-11.15259	-392.06073	178.22728	-25.80806	0.18665925	-24.818583	-25.89382	44000	-6.2584875e-09	14388.548	-0.008786789	-446.38672	1.2320235	0.00713282	0.074	79.0	62.13236904144287
11	-68.37639	63.097977	19.45984	-230.84505	144.2	-28.24702	0.07771469	-26.58531	-28.269913	48000	-2.0742416e-08	5281.437	-0.00875536	-79.02783	1.2142706	0.011581511	0.0775	79.0	68.88248205184937
12	-66.223045	67.37097	8.30236	-270.85663	205.8421	-29.398806	0.05440089	-28.93082	-29.424908	52000	-9.775162e-09	3626.3086	-0.009258158	-50.307617	1.2023693	0.005736702	0.094	79.0	75.89572215080261
13	-70.39614	73.362885	35.73675	-203.68224	198.5	-30.28898	0.05675244	-29.97549	-30.312712	56000	-6.556511e-10	4937.985	-0.009714538	-92.83545	1.1977811	0.011444464	0.143	79.0	83.2435941696167
14	-50.980724	61.038597	44.496914	-234.01363	261.2	-31.490524	0.053160794	-31.137215	-31.5213	60000	1.6689301e-09	2946.0422	-0.012445427	-49.248535	1.1976392	0.011360209	0.13425	79.0	91.22406196594238
15	-34.35747	69.57489	73.3339	-169.80434	277.0	-32.445988	0.02650129	-32.283382	-32.457634	64000	1.6093255e-09	3621.1724	-0.009551931	-1.2907715	1.1596875	0.0031080619	0.06625	79.0	99.18093299865723
16	-62.465446	92.23134	121.780426	-225.2997	261.0	-32.644096	0.034982223	-32.05487	-32.659107	68000	3.0994416e-09	5239.324	-0.007982079	-42.595703	1.1363345	0.0085723335	0.05475	79.0	107.65578889846802
17	-33.13989	84.350494	37.740005	-218.41566	376.1	-33.42257	0.27251497	-31.932753	-33.5122	72000	1.26361845e-08	3020.903	-0.011055135	-13.094482	1.1825927	0.00790163	0.0725	79.0	117.91077208518982
18	2.871904	69.21034	120.288475	-130.9574	442.85715	-34.0263	0.05677379	-33.354084	-34.048977	76000	-5.00679e-09	2689.3364	-0.011218496	-4.157959	1.1478873	0.010214281	0.186	79.0	128.95632791519165
