Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-268.90637	126.324104	-75.05681	-528.10394	91.53488	-0.08755286	0.031615864	0.08884871	-0.25680348	4000	-4.553795e-08	54509.94	-0.011682386	-1732.4062	1.3503726	0.015342571	0.12625	44.0	2.0868828296661377
1	-161.6347	85.67409	30.238543	-483.02988	86.41304	-4.2395673	0.26866844	-0.80117315	-4.66966	8000	1.2993812e-08	18706.535	-0.009846467	-750.38477	1.3768098	0.015137093	0.1495	31.0	4.093717098236084
2	-156.95557	98.527504	-8.682437	-445.77353	93.85714	-7.383215	0.7439264	3.9492724	-7.6282907	12000	4.673004e-08	19916.9	-0.00898245	-656.02734	1.3739799	0.006969798	0.03575	79.0	6.403180837631226
3	-127.2006	80.56079	-7.496186	-292.79596	99.575	-10.231024	0.4243594	-4.8993726	-10.361089	16000	-2.348423e-08	14325.766	-0.007870224	-447.8584	1.3645444	0.013000393	0.0735	79.0	8.66753101348877
4	-144.61993	93.39505	9.697168	-407.36603	97.39024	-12.611661	0.19959217	-9.580193	-12.680884	20000	-9.894371e-09	16902.8	-0.012862649	-506.45703	1.3597323	0.011969347	0.13875	79.0	10.919533967971802
5	-136.11833	69.68008	41.352787	-364.75714	93.666664	-15.139552	0.09095928	-12.692937	-15.175672	24000	-3.1232833e-08	11627.173	-0.010219356	-431.4287	1.3599397	0.00862804	0.063	79.0	13.14712405204773
6	-121.560425	65.05996	-28.780811	-344.00052	97.36585	-17.497335	0.104804195	-15.500597	-17.533112	28000	-3.182888e-08	11420.584	-0.009639534	-395.48828	1.3560501	0.0057803057	0.08475	79.0	15.403423070907593
7	-120.79551	69.966095	-45.160576	-377.83987	98.9	-19.776644	0.14642416	-16.358864	-19.810766	32000	-1.7702579e-08	10601.402	-0.011907237	-348.85742	1.347031	0.014237823	0.17025	79.0	17.71923589706421
8	-117.07701	80.711845	-18.11766	-418.052	110.583336	-21.938122	0.15507355	-19.86272	-21.973953	36000	4.23193e-09	10617.124	-0.010177954	-300.48145	1.3367163	0.012328079	0.12875	79.0	20.046177864074707
9	-100.110725	57.809322	16.24687	-259.54077	106.5946	-23.999594	0.025071893	-23.524126	-24.015694	40000	-2.9563903e-08	6424.2944	-0.010930677	-214.01758	1.3260775	0.008599104	0.1325	79.0	22.340039014816284
10	-98.67488	71.30552	32.076084	-233.26808	117.26471	-25.777254	0.049318194	-24.147505	-25.795868	44000	1.6152859e-08	5884.3535	-0.011371579	-178.94531	1.2880058	0.010236287	0.10675	79.0	24.691081047058105
11	-94.0656	75.42428	6.0032663	-282.06497	140.67857	-27.419046	0.08369673	-26.52406	-27.450779	48000	-6.660819e-09	6985.53	-0.0110838525	-177.23291	1.2607939	0.0076227104	0.119	79.0	27.111434936523438
