step,loss_function,target_value,elapsed_time
0,9.92412e-02,4.47928e-01,12
100,7.52832e-02,3.99413e-01,20
200,5.62181e-02,3.54985e-01,23
300,4.16239e-02,3.14256e-01,25
400,3.04140e-02,2.77148e-01,28
500,2.20413e-02,2.43665e-01,31
600,1.57402e-02,2.13579e-01,33
700,1.10053e-02,1.86579e-01,36
800,7.52321e-03,1.62844e-01,39
900,5.08374e-03,1.41992e-01,42
1000,3.39172e-03,1.24144e-01,44
1100,2.23412e-03,1.08944e-01,47
1200,1.47138e-03,9.61326e-02,49
1300,9.91806e-04,8.57758e-02,52
1400,6.99356e-04,7.74619e-02,55
1500,5.16724e-04,7.08240e-02,57
1600,4.07187e-04,6.55792e-02,60
1700,3.50637e-04,6.17654e-02,62
1800,3.14154e-04,5.89200e-02,65
1900,2.91631e-04,5.68400e-02,68
2000,2.82943e-04,5.53490e-02,70
2100,2.73385e-04,5.43032e-02,73
2200,2.69232e-04,5.37893e-02,75
2300,2.66207e-04,5.34576e-02,78
2400,2.61619e-04,5.32952e-02,81
2500,2.57331e-04,5.30451e-02,84
2600,2.55859e-04,5.27062e-02,86
2700,2.51575e-04,5.28551e-02,89
2800,2.48743e-04,5.29402e-02,92
2900,2.48264e-04,5.31811e-02,95
3000,2.43461e-04,5.28237e-02,98
3100,2.39189e-04,5.27700e-02,100
3200,2.33845e-04,5.23911e-02,103
3300,2.30816e-04,5.26991e-02,106
3400,2.27133e-04,5.26577e-02,109
3500,2.20790e-04,5.27830e-02,112
3600,2.18597e-04,5.26893e-02,114
3700,2.14079e-04,5.28281e-02,117
3800,2.08788e-04,5.29069e-02,120
3900,2.08268e-04,5.29442e-02,122
4000,2.00296e-04,5.32717e-02,125
