step,loss_function,target_value,elapsed_time
0,1.00275e+01,3.46638e-01,12
100,9.75078e-02,4.55326e-01,20
200,8.88907e-02,4.74526e-01,22
300,3.34140e-01,4.96263e-01,24
400,1.96510e-01,5.17761e-01,27
500,7.07392e-02,5.33591e-01,29
600,9.93516e-02,5.47800e-01,31
700,7.11099e-02,5.62086e-01,34
800,8.26065e-02,5.76642e-01,36
900,7.00390e-02,5.88028e-01,39
1000,3.32105e-02,5.98413e-01,41
1100,7.19085e-02,6.08928e-01,43
1200,3.68859e-02,6.18470e-01,46
1300,8.78606e-02,6.32026e-01,48
1400,4.58261e-02,6.42605e-01,51
1500,1.55220e-01,6.57354e-01,53
1600,7.11233e-02,6.72044e-01,56
1700,5.73989e-02,6.83155e-01,58
1800,7.05683e-02,6.96001e-01,61
1900,3.75407e-02,7.06227e-01,63
2000,1.18466e-01,7.25591e-01,66
2100,5.55164e-02,7.42201e-01,69
2200,4.34260e-02,7.56984e-01,71
2300,4.37882e-02,7.67156e-01,74
2400,3.52896e-02,7.75566e-01,76
2500,2.17306e-02,7.85081e-01,79
2600,5.35723e-02,8.03632e-01,81
2700,2.05648e-02,8.11462e-01,84
2800,2.35896e-02,8.26465e-01,87
2900,3.96564e-02,8.44234e-01,89
3000,4.47214e-02,8.57024e-01,92
3100,3.76401e-02,8.69145e-01,94
3200,1.74156e-02,8.79504e-01,97
3300,2.74395e-02,8.94762e-01,99
3400,3.63665e-02,9.06795e-01,102
3500,1.77261e-02,9.17529e-01,105
3600,2.09882e-02,9.37031e-01,107
3700,2.10195e-02,9.47758e-01,110
3800,3.51908e-02,9.65595e-01,112
3900,7.03763e-02,9.79983e-01,115
4000,3.20134e-02,9.92630e-01,117
4100,1.60745e-02,1.01024e+00,120
4200,2.04616e-02,1.02412e+00,122
4300,2.63817e-02,1.04117e+00,125
4400,3.25286e-02,1.05848e+00,127
4500,3.32427e-02,1.07476e+00,130
4600,2.04974e-02,1.08858e+00,132
4700,8.83250e-02,1.10761e+00,135
4800,4.08299e-02,1.11710e+00,137
4900,2.77364e-02,1.13532e+00,140
5000,4.11579e-02,1.14833e+00,142
5100,3.42762e-02,1.15844e+00,145
5200,3.23151e-02,1.17142e+00,147
5300,1.26421e-02,1.17821e+00,150
5400,1.32178e-02,1.19033e+00,153
5500,1.21670e-02,1.20340e+00,155
5600,1.79251e-02,1.22261e+00,158
5700,1.33180e-02,1.24272e+00,160
5800,2.59091e-02,1.25891e+00,163
5900,2.56981e-02,1.26687e+00,165
6000,4.64160e-02,1.28204e+00,168
6100,2.72184e-02,1.29539e+00,170
6200,1.38441e-02,1.30244e+00,173
6300,4.13717e-02,1.33150e+00,175
6400,3.10956e-02,1.34078e+00,178
6500,1.47757e-02,1.34680e+00,180
6600,3.51043e-02,1.36199e+00,183
6700,3.88964e-02,1.37296e+00,185
6800,1.40802e-02,1.38641e+00,188
6900,2.49675e-02,1.40213e+00,190
7000,1.67874e-02,1.41121e+00,193
7100,1.98811e-02,1.42458e+00,195
7200,2.28195e-02,1.44008e+00,198
7300,2.65239e-02,1.45076e+00,200
7400,3.59727e-02,1.46303e+00,203
7500,1.54075e-02,1.47832e+00,206
7600,1.59049e-02,1.48778e+00,208
7700,1.38212e-02,1.50111e+00,211
7800,1.77404e-02,1.51113e+00,213
7900,1.14174e-02,1.52386e+00,216
8000,1.31565e-02,1.53601e+00,219
8100,2.17998e-02,1.55155e+00,221
8200,2.74690e-02,1.56232e+00,224
8300,1.37169e-02,1.56937e+00,226
8400,1.30177e-02,1.59610e+00,229
8500,2.67875e-02,1.61453e+00,231
8600,1.13487e-02,1.61746e+00,234
8700,1.20275e-02,1.62770e+00,237
8800,1.37029e-02,1.63874e+00,239
8900,1.36114e-02,1.64828e+00,242
9000,1.75964e-02,1.66182e+00,244
9100,1.34801e-02,1.67197e+00,247
9200,2.90757e-02,1.68958e+00,249
9300,1.25016e-02,1.69451e+00,252
9400,1.66751e-02,1.70856e+00,255
9500,1.67576e-02,1.71942e+00,257
9600,1.27997e-02,1.73248e+00,260
9700,2.97608e-02,1.75413e+00,262
9800,1.57117e-02,1.76121e+00,265
9900,1.19195e-02,1.77825e+00,267
10000,2.49778e-02,1.79670e+00,270
10100,1.73587e-02,1.80514e+00,273
10200,1.73225e-02,1.81865e+00,275
10300,1.50118e-02,1.82900e+00,278
10400,1.25646e-02,1.83980e+00,280
10500,1.32282e-02,1.85149e+00,283
10600,9.21306e-03,1.86224e+00,286
10700,9.38729e-03,1.87627e+00,288
10800,1.35156e-02,1.89102e+00,291
10900,9.94752e-03,1.89876e+00,293
11000,1.00443e-02,1.90900e+00,296
11100,9.98152e-03,1.92631e+00,299
11200,1.26114e-02,1.93602e+00,301
11300,1.32823e-02,1.94451e+00,304
11400,1.05351e-02,1.95854e+00,306
11500,1.00448e-02,1.97071e+00,309
11600,1.05992e-02,1.98403e+00,312
11700,1.12972e-02,2.00083e+00,314
11800,1.01347e-02,2.01392e+00,317
11900,1.63770e-02,2.03434e+00,319
12000,1.51136e-02,2.04003e+00,322
12100,1.21720e-02,2.05287e+00,324
12200,1.26308e-02,2.06583e+00,327
12300,8.83963e-03,2.07066e+00,330
12400,2.70495e-02,2.09483e+00,332
12500,1.10506e-02,2.09992e+00,335
12600,2.05589e-02,2.11460e+00,337
12700,1.28646e-02,2.12447e+00,340
12800,1.00533e-02,2.13617e+00,342
12900,1.49383e-02,2.15148e+00,345
13000,9.75719e-03,2.15659e+00,348
13100,1.17326e-02,2.16890e+00,350
13200,1.17004e-02,2.18246e+00,353
13300,1.97065e-02,2.19702e+00,355
13400,1.33365e-02,2.20506e+00,358
13500,1.14022e-02,2.21766e+00,360
13600,9.99051e-03,2.22433e+00,363
13700,1.27470e-02,2.24431e+00,366
13800,1.07471e-02,2.25757e+00,368
13900,1.33797e-02,2.27378e+00,371
14000,8.17126e-03,2.27694e+00,373
14100,8.88826e-03,2.29192e+00,376
14200,1.32875e-02,2.31214e+00,378
14300,1.32673e-02,2.32837e+00,381
14400,1.00248e-02,2.33649e+00,384
14500,9.48583e-03,2.34653e+00,386
14600,1.34775e-02,2.37098e+00,389
14700,2.68455e-02,2.39877e+00,392
