step,loss_function,target_value,elapsed_time
0,2.58998e+02,4.15194e+01,29
100,2.26411e+02,4.23082e+01,47
200,2.03434e+02,4.30785e+01,53
300,1.82132e+02,4.38249e+01,59
400,1.63328e+02,4.45476e+01,65
500,1.45822e+02,4.52516e+01,71
600,1.30320e+02,4.59295e+01,77
700,1.16515e+02,4.65767e+01,83
800,1.04815e+02,4.71926e+01,89
900,9.47901e+01,4.77692e+01,95
1000,8.58175e+01,4.83196e+01,101
1100,7.78690e+01,4.88582e+01,107
1200,7.10118e+01,4.93660e+01,113
1300,6.50695e+01,4.98518e+01,119
1400,5.98046e+01,5.03251e+01,125
1500,5.51236e+01,5.07774e+01,131
1600,5.09950e+01,5.12135e+01,137
1700,4.72044e+01,5.16429e+01,142
1800,4.37815e+01,5.20580e+01,148
1900,4.08920e+01,5.24552e+01,154
2000,3.83000e+01,5.28283e+01,159
2100,3.61656e+01,5.31858e+01,165
2200,3.42477e+01,5.35409e+01,171
2300,3.25445e+01,5.38790e+01,176
2400,3.11586e+01,5.41979e+01,182
2500,3.00438e+01,5.44932e+01,188
2600,2.90954e+01,5.47542e+01,193
2700,2.83559e+01,5.50142e+01,199
2800,2.78633e+01,5.52418e+01,205
2900,2.74374e+01,5.54460e+01,211
3000,2.69765e+01,5.56447e+01,216
3100,2.66792e+01,5.58293e+01,222
3200,2.64312e+01,5.59872e+01,228
3300,2.63924e+01,5.61286e+01,233
3400,2.63294e+01,5.62763e+01,239
3500,2.62723e+01,5.64188e+01,245
3600,2.61804e+01,5.65350e+01,250
3700,2.61979e+01,5.66143e+01,256
3800,2.62199e+01,5.66885e+01,262
3900,2.61729e+01,5.67634e+01,267
4000,2.61669e+01,5.67879e+01,273
4100,2.61811e+01,5.68412e+01,279
4200,2.60979e+01,5.69033e+01,284
4300,2.61132e+01,5.69464e+01,290
4400,2.60659e+01,5.69418e+01,296
4500,2.60798e+01,5.69716e+01,301
4600,2.59567e+01,5.69791e+01,307
4700,2.58918e+01,5.69823e+01,313
4800,2.59427e+01,5.70058e+01,318
4900,2.60277e+01,5.70310e+01,324
5000,2.60051e+01,5.70483e+01,330
5100,2.60490e+01,5.70426e+01,335
5200,2.59989e+01,5.70535e+01,341
5300,2.61016e+01,5.70790e+01,347
5400,2.61373e+01,5.70776e+01,352
5500,2.62000e+01,5.71001e+01,358
5600,2.61320e+01,5.71279e+01,364
5700,2.60062e+01,5.71020e+01,370
5800,2.61219e+01,5.70741e+01,375
5900,2.60790e+01,5.71164e+01,381
6000,2.60074e+01,5.70542e+01,387
